SSC,date
0.5507853375,2020-09-11
0.4680158932,2020-09-11
0.6230367564,2020-09-16
0.5037046477,2020-09-16
0.616178673,2020-09-16
0.5052908952,2020-09-16
0.6644712906,2020-09-21
0.5473550558,2020-09-21
0.6394523131,2020-09-21
0.5509748557,2020-09-21
0.8265466886,2020-09-26
0.9644706543,2020-09-26
0.9180623427,2020-09-26
0.9446021963,2020-09-26
0.6174870598,2020-10-01
0.5484770798,2020-10-01
0.5900833665,2020-10-01
0.5588068569,2020-10-01
0.6165910083,2020-10-06
0.5571856803,2020-10-06
0.5860244287,2020-10-06
0.5696572302,2020-10-06
0.6872420045,2020-10-11
0.6325935298,2020-10-11
0.6749390041,2020-10-11
0.6419071723,2020-10-11
0.6769572678,2020-10-16
0.6602248535,2020-10-16
0.6468956942,2020-10-16
0.6643871342,2020-10-16
0.6735249352,2020-10-21
0.6601091931,2020-10-21
0.6368415232,2020-10-21
0.6647999164,2020-10-21
0.8009649798,2020-10-26
0.797084915,2020-10-26
0.7808734598,2020-10-26
0.7915153437,2020-10-26
0.7133055556,2020-10-31
0.7104531167,2020-10-31
0.6862721112,2020-10-31
0.7037905368,2020-10-31
0.7809797502,2020-11-05
0.773921343,2020-11-05
0.7426063629,2020-11-05
0.7627677664,2020-11-05
0.8494923775,2020-11-10
0.8587146379,2020-11-10
0.854133331,2020-11-10
0.8341207629,2020-11-10
0.8572011007,2020-11-15
0.9243998595,2020-11-15
0.8633098848,2020-11-15
0.9222635889,2020-11-15
0.6989433529,2020-11-20
0.7449896986,2020-11-20
0.6913775502,2020-11-20
0.7260225204,2020-11-20
0.9640511594,2020-11-25
0.9650787129,2020-11-25
0.9581589457,2020-11-25
0.9708422006,2020-11-25
0.7213570908,2020-11-30
0.7665130338,2020-11-30
0.736055249,2020-11-30
0.7449992867,2020-11-30
0.751540173,2020-12-05
0.8367053193,2020-12-05
0.7987871821,2020-12-05
0.8168723274,2020-12-05
0.7249139766,2020-12-10
0.7528161999,2020-12-10
0.7698313517,2020-12-10
0.7285913914,2020-12-10
0.7025985392,2020-12-15
0.7020737811,2020-12-15
0.7593225377,2020-12-15
0.6758917233,2020-12-15
0.6677394353,2020-12-20
0.6651844313,2020-12-20
0.7364535999,2020-12-20
0.6587529831,2020-12-20
0.6425336622,2020-12-25
0.6154091008,2020-12-25
0.7174614197,2020-12-25
0.6035385823,2020-12-25
0.8461432007,2020-12-30
0.8925121417,2020-12-30
0.8132854876,2020-12-30
0.8969240129,2020-12-30
0.6656814144,2021-01-04
0.6059722322,2021-01-04
0.750617871,2021-01-04
0.5875919965,2021-01-04
0.9221576597,2021-01-09
0.7545101289,2021-01-09
0.9533238959,2021-01-09
0.7548503507,2021-01-09
0.8005883443,2021-01-14
0.9556501838,2021-01-14
0.850285577,2021-01-14
0.9561294166,2021-01-14
0.9182746881,2021-01-19
0.7187673762,2021-01-19
0.8494638914,2021-01-19
0.6555557925,2021-01-19
0.9779608126,2021-01-24
0.9776335746,2021-01-24
0.9836273468,2021-01-24
0.9812452241,2021-01-24
0.6355566387,2021-01-29
0.5841010295,2021-01-29
0.7503106643,2021-01-29
0.5823791458,2021-01-29
0.6396206888,2021-02-03
0.6004537999,2021-02-03
0.7622219564,2021-02-03
0.5834302927,2021-02-03
