Turbidity,date
-0.003901362303,2020-06-23
-0.02518093951,2020-06-23
-0.008466283322,2020-06-23
0.01342341523,2020-06-28
2.71E-04,2020-06-28
-0.00762189462,2020-06-28
2.67E-04,2020-06-28
0.005213110275,2020-07-03
-0.01638841017,2020-07-03
-0.01891383697,2020-07-03
-0.01880413345,2020-07-03
0.003354748359,2020-07-08
-1.93E-04,2020-07-08
0.008194269009,2020-07-08
0.002824716127,2020-07-08
-0.02796161667,2020-07-13
-0.04869920964,2020-07-13
-0.03550993412,2020-07-13
-0.05101684262,2020-07-13
1.13E-04,2020-07-18
0.004440926296,2020-07-18
-0.002645284439,2020-07-18
0.003250964538,2020-07-18
-0.04624715874,2020-07-23
-0.06928220203,2020-07-23
-0.04792675443,2020-07-23
-0.06639369098,2020-07-23
-0.04748072303,2020-07-28
-0.06997061616,2020-07-28
-0.04778050833,2020-07-28
-0.06784312927,2020-07-28
-0.05333314536,2020-08-02
-0.08132212658,2020-08-02
-0.06193084609,2020-08-02
-0.07941377897,2020-08-02
-0.04438589356,2020-08-07
-0.06091284571,2020-08-07
-0.03991416328,2020-08-07
-0.06313487223,2020-08-07
-0.03450395151,2020-08-12
-0.07016130561,2020-08-12
-0.02178456019,2020-08-12
-0.06752374493,2020-08-12
-0.005674586608,2020-08-17
0.007360795407,2020-08-17
-0.02651244015,2020-08-17
4.94E-04,2020-08-17
-0.07464933674,2020-08-22
-0.1122238476,2020-08-22
-0.05257539938,2020-08-22
-0.1101654211,2020-08-22
-0.03854393106,2020-08-27
-0.05758072939,2020-08-27
-0.04834415503,2020-08-27
-0.05031932421,2020-08-27
-0.02156207515,2020-09-01
-0.03509245898,2020-09-01
-0.03665431314,2020-09-01
-0.04830115644,2020-09-01
-0.0399761193,2020-09-06
-0.06244038845,2020-09-06
-0.02981729111,2020-09-06
-0.06285900885,2020-09-06
-0.05018554565,2020-09-11
-0.08027242516,2020-09-11
-0.06337057198,2020-09-11
-0.07843847381,2020-09-11
-0.04199049802,2020-09-16
-0.06945857176,2020-09-16
-0.05481288261,2020-09-16
-0.07064687433,2020-09-16
-0.03522258592,2020-09-21
-0.05762579715,2020-09-21
-0.05214054716,2020-09-21
-0.05900218642,2020-09-21
0.002369661769,2020-09-26
0.02456150006,2020-09-26
0.01403638183,2020-09-26
0.02198290423,2020-09-26
-0.01682116955,2020-10-01
-0.03239979505,2020-10-01
-0.03803339188,2020-10-01
-0.03197694185,2020-10-01
-0.009138157694,2020-10-06
-0.01876189552,2020-10-06
-0.03231290047,2020-10-06
-0.01813268519,2020-10-06
-0.008315777829,2020-10-11
-0.01226903842,2020-10-11
-0.02444189617,2020-10-11
-0.01441964303,2020-10-11
-0.008261445648,2020-10-16
-0.01210423959,2020-10-16
-0.02994021689,2020-10-16
-0.01478716053,2020-10-16
9.22E-05,2020-10-21
0.004256627038,2020-10-21
-0.0233831224,2020-10-21
-0.00147167855,2020-10-21
-0.0123344051,2020-10-26
-0.01028415915,2020-10-26
-0.0262721342,2020-10-26
-0.01611972286,2020-10-26
-0.008488230984,2020-10-31
0.002154485872,2020-10-31
-0.02737137678,2020-10-31
-0.006770703961,2020-10-31
-0.01811652297,2020-11-05
-0.007295442255,2020-11-05
-0.03016125087,2020-11-05
-0.01432044386,2020-11-05
-0.01014612761,2020-11-10
-0.006756562563,2020-11-10
-0.01441026396,2020-11-10
-0.01284780433,2020-11-10
-0.02584264978,2020-11-15
-0.01924038757,2020-11-15
-0.0323863885,2020-11-15
-0.02499354226,2020-11-15
-0.02298220325,2020-11-20
-0.003274300221,2020-11-20
